name,price,status,shipping,free_returns,items_sold
"NEW Trans by JanSport 17"" SuperMax Backpack w/ 15"" Laptop Sleeve - Rainbow Dot ",1850,Brand New,0,False,47
Men's Leather Backpack Shoulder Bag Weekender Travel School Laptop Bags Daypack,3219,Brand New,0,False,165
Men's Tactical Sling Shoulder  Outdoor 14'' Laptop Messenger Military Travel Bag,2155,Brand New,99,True,43
KAUKKO Brand Design Canvas Vintage Laptop Backpack School Bag Travel Rucksack US,2899,Brand New,199,True,33
TUMI Laptop Sleeve Black Bag Travel 15 Inch PERFECT CONDITION,3500,Pre-Owned,705,False,
Nike Air Jordan Flight Backpack with Laptop Storage Germain Blue 9A0174-B47,3499,Brand New,997,False,0
"Men Leather Briefcase Shoulder Messenger Bag 17"" Laptop Case Handbag Travel Bag ",15900,Brand New,0,False,
Bag Vintage Leather Laptop Messenger Men Satchel S Briefcase Business Mens Bag,5299,New (Other),0,True,
Leather Laptop Messenger Briefcase Bag Satchel 11/13/15/16/17/18 Inch Men's Real,3290,New (Other),0,False,0
"Vintage Men Leather Briefcase Travel 17"" Laptop Shoulder Messenger Bag Satchel",14800,Brand New,0,True,0
Coach F71433 Men CGC Holdall Gun Metal Tote Bag Laptop Weekend Leather Black,19999,Pre-Owned,2435,False,
Real genuine leather Vintage Back pack laptop satchel brown vintage handmade bag,4928,New (Other),0,False,
Tumi 15 inch Laptop Briefcase Shoulder Bag Nylon Black Excellent Condition,3500,Pre-Owned,1425,False,
NEW MAXON COLLECTION DARK BROWN CREAM PEBBLE LEATHER ITALIAN🇮🇹BACKPACK🎒LAPTOP,13500,Brand New,1999,False,
"Men's Real Leather 17"" Laptop Bag Backpack Large Hiking Travel Camping Carry On",14900,Brand New,0,True,0
Michael Kors Large Tote Black Leather Laptop Bag Handbag Purse Shoulder,14400,Brand New,1695,True,
New With Tags Under Armour Hustle UA Storm 3.0 Backpack Laptop School Bag,4323,Brand New,0,False,200
LL Bean Camo Backpack Rucksack Book Bag Multi Pockets Laptop Travel Bag Medium,2900,Pre-Owned,1425,True,
Vera Bradley Floral Print Laptop Case with Removable Straps BARELY USED,2500,Pre-Owned,1595,False,
ibagbar Canvas Laptop Messenger Bags 14 Inch Crossbody Shoulder Bag Computer Bag,3800,Brand New,,False,
Pink Briefcase Laptop Messenger Bag Shoulder Water-Resistant Direct Sellers NEW,2477,New (Other),1270,False,
New US Men Leather Backpack Soft School Laptop Notebook Travel Bag,4740,New (Other),0,False,
Leather Laptop Bag's Briefcase Women New Business Womens Handbag Tote Purse Work,3254,New (Other),0,True,
"Embark 19"" Black Jartop Laptop Nylon Backpack School Travel Work Bag Pockets ",2490,Pre-Owned,1595,False,
Coach F1373-F23268 Black has padded divider carryall EUC leather laptop/tablet,5688,Pre-Owned,1185,False,
Johnston & Murphy Rhodes Leather Laptop Business Backpack,25900,Brand New,0,False,
"Innturt Large Sling Bag Backpack Pack 13"" 14"" Laptop Bag Satchel School Travel",3129,Brand New,0,True,
2021 New LOL Surprise Backpack 17” Laptop Sleeve And Pockets Purple White Shiny,1999,Brand New,1465,False,
"Two Lumps of Sugar Laptop Bag Blue Red White Gray Plaid, Padded Carrying Bag",2099,Pre-Owned,880,False,
2021 Under Armour Hustle UA Storm Backpack Laptop School Bag,2999,New (Other),0,False,0
Women Laptop Backpack 15.6’’ Travel Work Laptop Comprtment Sleeve WaterResistant,4999,Brand New,0,True,
Bag Leather Shoulder Laptop Messenger Business Briefcase Men Men's Genuine New,4700,New (Other),0,True,
Bag Messenger Leather Shoulder Laptop Briefcase Men's Genuine Satchel Men New,4700,New (Other),0,True,
"JanSport City View Russet Red Boys Girls Backpack Bookbag 15"" Laptop Sleeve New",2999,Brand New,0,True,
JoJo's Bizarre Adventure Team Bucciarati Characters Laptop Backpack Multi-Color,6498,Brand New,0,False,
"Men Women 15.6"" Laptop Backpack Large USB Charging Travel Waterproof School Bag",1999,Brand New,0,False,
Mens Messenger Bag Waterproof Satchel Crossbody Computer Laptop Shoulder Bag New,1499,Brand New,0,True,0
Naruto Hatake Kakashi Jonin Gear Inspired Laptop Backpack Multi-Color,9498,Brand New,0,False,
OSPREY Elroy Laptop Shoulder Messenger Bag Orange,4999,Pre-Owned,699,False,
Kipling SEOUL Backpack w/ Laptop Protection True Blue Navy Medium  Size NEW Tags,3999,Brand New,799,False,
New Authentic Vineyard Vines Pink Whale Sticker Laptop Yeti Car Decal,285,New (Other),0,False,235
